,network,iter,epoch,type,loss,accuracy
448,I,5,49,train,0.06254623567782572,0.9839621810858181
449,I,5,50,train,0.06255795465407152,0.9840649888340709
450,I,5,1,validation,0.013537664181801811,0.9990749315020114
451,I,5,2,validation,0.013086867086661706,0.9990749315020114
452,I,5,3,validation,0.013476830327781701,0.9990749315020114
453,I,5,4,validation,0.014405240928952364,0.9990749315020114
454,I,5,5,validation,0.012923273859264728,0.9990749315020114
455,I,5,6,validation,0.012785919972546364,0.9990749315020114
456,I,5,7,validation,0.0137517950562183,0.9990749315020114
457,I,5,8,validation,0.013981777214023881,0.9990749315020114
458,I,5,9,validation,0.01362145620559331,0.9990749315020114
459,I,5,10,validation,0.012722533965564293,0.9990749315020114
460,I,5,11,validation,0.013463835620082687,0.9990749315020114
461,I,5,12,validation,0.01250365617746189,0.9990749315020114
462,I,5,13,validation,0.012772185819707708,0.9990749315020114
463,I,5,14,validation,0.013491375878398116,0.9990749315020114
464,I,5,15,validation,0.013204707858427518,0.9990749315020114
465,I,5,16,validation,0.014561393932731448,0.9990749315020114
466,I,5,17,validation,0.013256953703971867,0.9990749315020114
467,I,5,18,validation,0.012750713043104406,0.9990749315020114
468,I,5,19,validation,0.01382693137747824,0.9990749315020114
469,I,5,20,validation,0.01218895484356487,0.9990749315020114
470,I,5,21,validation,0.013240452266102666,0.9990749315020114
471,I,5,22,validation,0.01261031879827201,0.9990749315020114
472,I,5,23,validation,0.013008223951231622,0.9990749315020114
473,I,5,24,validation,0.013158722044460676,0.9990749315020114
474,I,5,25,validation,0.01319445466844987,0.9990749315020114
475,I,5,26,validation,0.012959386589941219,0.9990749315020114
476,I,5,27,validation,0.012119490296599712,0.9990749315020114
477,I,5,28,validation,0.012728100324223623,0.9990749315020114
478,I,5,29,validation,0.011893516398232282,0.9990749315020114
479,I,5,30,validation,0.01301391784680678,0.9990749315020114
480,I,5,31,validation,0.013290292946113468,0.9990749315020114
481,I,5,32,validation,0.01293904160922195,0.9990749315020114
482,I,5,33,validation,0.012560105969600386,0.9990749315020114
483,I,5,34,validation,0.012285605116052058,0.9990749315020114
484,I,5,35,validation,0.012557188549943124,0.9990749315020114
485,I,5,36,validation,0.012695076143942862,0.9990749315020114
486,I,5,37,validation,0.014192907258981941,0.9990749315020114
487,I,5,38,validation,0.013080019986723911,0.9990749315020114
